,date,id,geometry,dis,ac_dis,lon,lat,time,u10,v10,t2m,skt,slhf,sshf,ssrd,strd,tp,d2m,sp,Time,t2m_i,skt_i,slhf_,sshf_,ssrd_,strd_,slhf_i,sshf_i,ssrd_i,strd_i,tp_,tp_i,v10_i,u10_i,d2m_i,sp_i
681,2021-03-22 18:00:00,9531,POINT Z (9.48986 4.76523 0),0.100635681,4774.5504,9.48986,4.76523,00:24.2,-0.40239253640174866,-0.18397580087184906,296.9457092285156,296.77899169921875,-6230347.5,-185076.609375,9100354.0,26844614.0,0.01890978217124939,295.78668212890625,97705.9296875,2021-03-22 18:00:00,296.9457092285156,296.77899169921875,-6230347.5,-185076.609375,9100354.0,26844614.0,-83.94333333333333,82.25735677083334,7.836111111111111,405.39,0.01890978217124939,0.0007209479808807373,-0.18397580087184906,-0.40239253640174866,295.78668212890625,97705.9296875
682,2021-03-22 19:00:00,9571,POINT Z (9.48595 4.68117 0),0.231090201,4784.796761,9.48595,4.68117,00:16.7,0.08416562527418137,0.5277870297431946,297.7112121582031,297.79888916015625,-5922151.0,-344181.09375,9220569.0,28496866.0,0.013418946415185928,296.1016540527344,98613.203125,2021-03-22 19:00:00,297.7112121582031,297.79888916015625,-5922151.0,-344181.09375,9220569.0,28496866.0,85.61013888888888,-44.195690104166665,33.393055555555556,458.9588888888889,0.013418946415185928,-0.005490835756063461,0.5277870297431946,0.08416562527418137,296.1016540527344,98613.203125
683,2021-03-22 20:00:00,9628,POINT Z (9.4419 4.63125 0),0.45724805,4795.156142,9.4419,4.63125,00:48.8,0.47770529985427856,0.07549967616796494,297.1202087402344,296.47027587890625,-6204710.0,-133551.609375,9450150.0,29915150.0,0.009883973747491837,295.71832275390625,98101.171875,2021-03-22 20:00:00,297.1202087402344,296.47027587890625,-6204710.0,-133551.609375,9450150.0,29915150.0,-78.48861111111111,58.508190104166665,63.7725,393.96777777777777,0.009883973747491837,-0.003534972667694092,0.07549967616796494,0.47770529985427856,295.71832275390625,98101.171875
684,2021-03-22 21:00:00,9687,POINT Z (9.46653 4.5557 0),0.392171101,4805.651825,9.46653,4.5557,02:08.8,-0.31707972288131714,0.23549248278141022,297.3203125,295.73486328125,-5976154.0,-384381.59375,9542590.0,31467214.0,0.010237466543912888,295.5133361816406,98702.4140625,2021-03-22 21:00:00,297.3203125,295.73486328125,-5976154.0,-384381.59375,9542590.0,31467214.0,63.48777777777778,-69.67499565972223,25.677777777777777,431.12888888888887,0.010237466543912888,0.000353492796421051,0.23549248278141022,-0.31707972288131714,295.5133361816406,98702.4140625
685,2021-03-22 22:00:00,9751,POINT Z (9.45553 4.47257 0),0.139336518,4815.687418,9.45553,4.47257,00:47.4,-0.26479125022888184,0.27241387963294983,297.0469055175781,295.42291259765625,-6459449.5,-427979.59375,10217012.0,32990320.0,0.008165325969457626,295.7514343261719,98924.640625,2021-03-22 22:00:00,297.0469055175781,295.42291259765625,-6459449.5,-427979.59375,10217012.0,32990320.0,-134.24875,-12.110555555555555,187.33944444444444,423.085,0.008165325969457626,-0.0020721405744552612,0.27241387963294983,-0.26479125022888184,295.7514343261719,98924.640625
686,2021-03-22 23:00:00,9829,POINT Z (9.44197 4.39978 0),0.293058077,4826.041509,9.44197,4.39978,01:17.7,0.1672767847776413,-0.111158587038517,296.8537902832031,295.6734619140625,-6552181.5,-563303.625,10897509.0,34410920.0,0.00513734295964241,296.3846130371094,100350.96875,2021-03-22 23:00:00,296.8537902832031,295.6734619140625,-6552181.5,-563303.625,10897509.0,34410920.0,-25.75888888888889,-37.590008680555556,189.02694444444444,394.6111111111111,0.00513734295964241,-0.003027983009815216,-0.111158587038517,0.1672767847776413,296.3846130371094,100350.96875
687,2021-03-23 00:00:00,9877,POINT Z (9.42835 4.31727 0),0.866541566,4836.261137,9.42835,4.31727,01:00.8,0.41000550985336304,-0.11320970207452774,297.0504150390625,295.6799011230469,-6479087.0,-857731.625,11634860.0,35932868.0,0.004469882696866989,296.63018798828125,100732.6953125,2021-03-23 00:00:00,297.0504150390625,295.6799011230469,-6479087.0,-857731.625,11634860.0,35932868.0,20.304027777777776,-81.78555555555556,204.81972222222223,422.7633333333333,0.004469882696866989,-0.0006674602627754211,-0.11320970207452774,0.41000550985336304,296.63018798828125,100732.6953125
688,2021-03-23 01:00:00,9925,POINT Z (9.37225 4.25422 0),0.552969934,4846.711523,9.37225,4.25422,02:04.9,0.27955949306488037,-0.2706385552883148,297.3889465332031,296.0904541015625,7767.259765625,4036.89599609375,0.004593105986714363,1503708.0,4.652815732697491e-06,297.0369873046875,100721.8828125,2021-03-23 01:00:00,297.3889465332031,296.0904541015625,7767.259765625,4036.89599609375,0.004593105986714363,1503708.0,4.015346950954861,-47.34125020345052,102.40986111111111,418.98305555555555,4.652815732697491e-06,0.0002913242341830543,-0.2706385552883148,0.27955949306488037,297.0369873046875,100721.8828125
689,2021-03-23 02:00:00,9975,POINT Z (9.32582 4.19432 0),0.078008411,4856.646325,9.32582,4.19432,00:08.2,0.5734758973121643,-0.19320617616176605,293.81500244140625,293.720947265625,-36416.7421875,-42392.10546875,0.004593105986714363,2998438.0,0.00020698078151326627,293.32342529296875,91783.78125,2021-03-23 02:00:00,293.81500244140625,293.720947265625,-36416.7421875,-42392.10546875,0.004593105986714363,2998438.0,-12.273333875868056,-12.896944851345486,0.0,415.2027777777778,0.00020698078151326627,0.00020232796578056877,-0.19320617616176605,0.5734758973121643,293.32342529296875,91783.78125
690,2021-03-23 03:00:00,10028,POINT Z (9.30768 4.1197 0),0.203259121,4867.073781,9.30768,4.1197,01:04.2,0.4666972756385803,-0.3342253863811493,296.06036376953125,295.5409240722656,-28779.740234375,73.39601135253906,0.004593105986714363,4502434.0,0.00041164079448208213,295.53790283203125,97329.609375,2021-03-23 03:00:00,296.06036376953125,295.5409240722656,-28779.740234375,73.39601135253906,0.004593105986714363,4502434.0,2.1213894314236112,11.795972633361817,0.0,417.77666666666664,0.00041164079448208213,0.00020466001296881586,-0.3342253863811493,0.4666972756385803,295.53790283203125,97329.609375
691,2021-03-23 04:00:00,10074,POINT Z (9.37085 4.09372 0),1.756664647,4877.671137,9.37085,4.09372,02:59.8,0.05719577521085739,-0.7429250478744507,297.9915771484375,296.6868591308594,676.2597045898438,22721.896484375,0.004593105986714363,5982106.0,0.0005418769433163106,297.3540954589844,102565.0859375,2021-03-23 04:00:00,297.9915771484375,296.6868591308594,676.2597045898438,22721.896484375,0.004593105986714363,5982106.0,8.182222205268012,6.291250131395128,0.0,411.02,0.0005418769433163106,0.00013023614883422852,-0.7429250478744507,0.05719577521085739,297.3540954589844,102565.0859375
692,2021-03-23 05:00:00,10084,POINT Z (9.50741 4.14475 0),7.279973769,4894.65092,9.50741,4.14475,42:13.1,-0.13489563763141632,-1.0567570924758911,297.14697265625,296.92608642578125,-224607.734375,-15214.103515625,0.004593105986714363,7471044.0,0.0006511769606731832,296.7315979003906,101261.4921875,2021-03-23 05:00:00,297.14697265625,296.92608642578125,-224607.734375,-15214.103515625,0.004593105986714363,7471044.0,-62.57888724433051,-10.537777777777778,0.0,413.5938888888889,0.0006511769606731832,0.00010930001735687256,-1.0567570924758911,-0.13489563763141632,296.7315979003906,101261.4921875
693,2021-03-23 06:00:00,10090,POINT Z (9.53788 4.14823 0),2.12022033,4898.207383,9.53788,4.14823,03:00.1,-0.24497665464878082,-1.1336766481399536,297.3575439453125,297.06671142578125,-272609.75,-23141.103515625,44701.00390625,8942029.0,0.0006511769606731832,297.0145568847656,101327.453125,2021-03-23 06:00:00,297.3575439453125,297.06671142578125,-272609.75,-23141.103515625,44701.00390625,8942029.0,-13.333893229166666,-2.2019444444444445,12.416944253651115,408.6069444444444,0.0006511769606731832,0.0,-1.1336766481399536,-0.24497665464878082,297.0145568847656,101327.453125
694,2021-03-23 07:00:00,10111,POINT Z (9.60725 4.1066 0),2.611258632,4908.265549,9.60725,4.1066,01:46.6,-0.5135743618011475,-0.9829143285751343,298.2661437988281,299.1727294921875,-260608.734375,-22574.603515625,537281.0,10443129.0,0.0006465277983807027,296.49884033203125,100197.4140625,2021-03-23 07:00:00,298.2661437988281,299.1727294921875,-260608.734375,-22574.603515625,537281.0,10443129.0,3.333615451388889,0.15736111111111112,136.82777669270834,416.97222222222223,0.0006465277983807027,-4.649162292480469e-06,-0.9829143285751343,-0.5135743618011475,296.49884033203125,100197.4140625
695,2021-03-23 08:00:00,10165,POINT Z (9.6851 4.06969 0),0.905667774,4918.723254,9.6851,4.06969,02:53.2,-0.3754226863384247,-0.4967822730541229,300.44171142578125,299.7691650390625,-1544124.75,292236.90625,1985942.0,11885157.0,0.0004046596004627645,296.2596740722656,100713.234375,2021-03-23 08:00:00,300.44171142578125,299.7691650390625,-1544124.75,292236.90625,1985942.0,11885157.0,-356.5322265625,87.4476416015625,402.4058333333333,400.56333333333333,0.0004046596004627645,-0.00024186819791793823,-0.4967822730541229,-0.3754226863384247,296.2596740722656,100713.234375
696,2021-03-23 09:00:00,10222,POINT Z (9.70583 4.01407 0),0.292756173,4928.664645,9.70583,4.01407,00:58.8,-0.2730473279953003,-0.3383278548717499,301.79705810546875,301.5713195800781,-2476350.75,-50885.10546875,4043492.0,13369462.0,0.0004162899567745626,296.0504150390625,100667.2734375,2021-03-23 09:00:00,301.79705810546875,301.5713195800781,-2476350.75,-50885.10546875,4043492.0,13369462.0,-258.95166666666665,-95.311669921875,571.5416666666666,412.30694444444447,0.0004162899567745626,1.1630356311798096e-05,-0.3383278548717499,-0.2730473279953003,296.0504150390625,100667.2734375
697,2021-03-23 10:00:00,10271,POINT Z (9.78851 3.99331 0),0.23788645,4938.931091,9.78851,3.99331,00:58.4,0.39074134826660156,-0.2762793004512787,303.2699279785156,303.7032470703125,-2941645.75,-1047977.625,6604906.0,14886778.0,0.00013256438251119107,295.4844970703125,100560.7578125,2021-03-23 10:00:00,303.2699279785156,303.7032470703125,-2941645.75,-1047977.625,6604906.0,14886778.0,-129.2486111111111,-276.9701443142361,711.5038888888889,421.4766666666667,0.00013256438251119107,-0.00028372557426337153,-0.2762793004512787,0.39074134826660156,295.4844970703125,100560.7578125
698,2021-03-23 11:00:00,10300,POINT Z (9.87337 4.00944 0),0.217103899,4949.070909,9.87337,4.00944,00:13.5,0.8756483197212219,-0.06039164587855339,304.2797546386719,304.8200988769531,-4010242.25,-1963535.625,9335143.0,16437683.0,9.30197802517796e-06,295.0744934082031,100443.96875,2021-03-23 11:00:00,304.2797546386719,304.8200988769531,-4010242.25,-1963535.625,9335143.0,16437683.0,-296.8323611111111,-254.32166666666666,758.3991666666667,430.80694444444447,9.30197802517796e-06,-0.0001232624044860131,-0.06039164587855339,0.8756483197212219,295.0744934082031,100443.96875
